Url,Zestimate,Price,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,City,Zip,State,Country,Full Address,Latitude,Longitude,HOLC_Region,HOLC_Rating
https://www.zillow.com/homedetails/525-Edgewood-Ave-New-Haven-CT-06511/57971081_zpid/,583379,599000,4,5,4162,SINGLE_FAMILY,525 Edgewood Ave,New Haven,6511,CT,USA,525 Edgewood Ave New Haven 6511 CT USA ,41.3160825,-72.9529243,C6,C
https://www.zillow.com/homedetails/1772-Ella-T-Grasso-Blvd-New-Haven-CT-06511/57971629_zpid/,338079,345000,4,4,2266,SINGLE_FAMILY,1772 Ella T Grasso Blvd,New Haven,6511,CT,USA,1772 Ella T Grasso Blvd New Haven 6511 CT USA ,41.3272242,-72.9466795,C6,C
https://www.zillow.com/homedetails/69-Saint-Andrew-Ave-East-Haven-CT-06512/174455156_zpid/,166925,164900,2,2,1690,SINGLE_FAMILY,69 Saint Andrew Ave,East Haven,6512,CT,USA,69 Saint Andrew Ave East Haven 6512 CT USA ,41.2811415,-72.8837395,C19,C
https://www.zillow.com/homedetails/21-Gerrish-Ave-East-Haven-CT-06512/57904008_zpid/,278690,269900,3,4,1785,SINGLE_FAMILY,21 Gerrish Ave,East Haven,6512,CT,USA,21 Gerrish Ave East Haven 6512 CT USA ,41.2774121,-72.8815243,C19,C
https://www.zillow.com/homedetails/109-Charter-Oak-Ave-East-Haven-CT-06512/58896287_zpid/,241179,205535,2,4,1662,SINGLE_FAMILY,109 Charter Oak Ave,East Haven,6512,CT,USA,109 Charter Oak Ave East Haven 6512 CT USA ,41.2806798,-72.8847086,C19,C
https://www.zillow.com/homedetails/210-Lenox-St-New-Haven-CT-06513/57958293_zpid/,192098,188000,2,3,1336,SINGLE_FAMILY,210 Lenox St,New Haven,6513,CT,USA,210 Lenox St New Haven 6513 CT USA ,41.3045337,-72.8872469,C13,C
https://www.zillow.com/homedetails/25-Page-St-New-Haven-CT-06512/57957207_zpid/,228501,228500,2,4,1636,SINGLE_FAMILY,25 Page St,New Haven,6512,CT,USA,25 Page St New Haven 6512 CT USA ,41.286837,-72.890426,C13,C
https://www.zillow.com/homedetails/171-Lexington-Ave-New-Haven-CT-06513/57958381_zpid/,183346,179000,2,3,1528,SINGLE_FAMILY,171 Lexington Ave,New Haven,6513,CT,USA,171 Lexington Ave New Haven 6513 CT USA ,41.3025003,-72.886216,C13,C
https://www.zillow.com/homedetails/136-Peat-Meadow-Rd-New-Haven-CT-06513/57957612_zpid/,251156,250000,3,4,2000,SINGLE_FAMILY,136 Peat Meadow Rd,New Haven,6513,CT,USA,136 Peat Meadow Rd New Haven 6513 CT USA ,41.2906261,-72.8877312,C13,C
https://www.zillow.com/homedetails/356-Summit-St-New-Haven-CT-06513/58932239_zpid/,,169900,2,4,1716,SINGLE_FAMILY,356 Summit St,New Haven,6513,CT,USA,356 Summit St New Haven 6513 CT USA ,41.3067697,-72.8811897,C13,C
https://www.zillow.com/homedetails/134-Rosewood-Ave-New-Haven-CT-06513/57958860_zpid/,219900,219900,1,3,1040,SINGLE_FAMILY,134 Rosewood Ave,New Haven,6513,CT,USA,134 Rosewood Ave New Haven 6513 CT USA ,41.3111317,-72.8765862,C13,C
https://www.zillow.com/homedetails/91-Crofton-St-New-Haven-CT-06513/57957694_zpid/,249900,249900,1,2,992,SINGLE_FAMILY,91 Crofton St,New Haven,6513,CT,USA,91 Crofton St New Haven 6513 CT USA ,41.2950362,-72.8891185,C13,C
https://www.zillow.com/homedetails/56-Chester-St-New-Haven-CT-06513/57957627_zpid/,169174,165000,1,2,945,SINGLE_FAMILY,56 Chester St,New Haven,6513,CT,USA,56 Chester St New Haven 6513 CT USA ,41.2914313,-72.8890005,C13,C
